Date,S_P500,IBM,Apple
9/3/13,0.0395,0.0422,0.0039
8/1/13,-0.0313,-0.0608,0.0838
7/1/13,0.0495,0.0206,0.1412
6/3/13,-0.0150,-0.0813,-0.1183
5/1/13,0.0208,0.0319,0.0224
4/1/13,0.0181,-0.0505,0.0003
3/1/13,0.0360,0.0621,0.0028
2/1/13,0.0111,-0.0068,-0.0253
1/2/13,0.0504,0.0601,-0.1441
12/3/12,0.0071,0.0078,-0.0907
11/1/12,0.0028,-0.0187,-0.0124
10/1/12,-0.0198,-0.0622,-0.1076
9/4/12,0.0242,0.0647,0.0028
8/1/12,0.0198,-0.0015,0.0939
7/2/12,0.0126,0.0020,0.0458
6/1/12,0.0396,0.0139,0.0109
5/1/12,-0.0627,-0.0646,-0.0107
4/2/12,-0.0075,-0.0075,-0.0260
3/1/12,0.0313,0.0606,0.1053
2/1/12,0.0406,0.0254,0.1883
1/3/12,0.0436,0.0474,0.1271
12/1/11,0.0085,-0.0219,0.0596
11/1/11,-0.0051,0.0223,-0.0558
10/3/11,0.1077,0.0558,0.0615
9/1/11,-0.0718,0.0172,-0.0091
8/1/11,-0.0568,-0.0505,-0.0145
7/1/11,-0.0215,0.0601,0.1633
6/1/11,-0.0183,0.0155,-0.0349
5/2/11,-0.0135,-0.0053,-0.0066
4/1/11,0.0285,0.0460,0.0047
3/1/11,-0.0010,0.0074,-0.0133
2/1/11,0.0320,0.0032,0.0409
1/3/11,0.0226,0.1038,0.0520
12/1/10,0.0653,0.0375,0.0367
11/1/10,-0.0023,-0.0106,0.0338
10/1/10,0.0369,0.0706,0.0607
9/1/10,0.0876,0.0894,0.1672
8/2/10,-0.0474,-0.0363,-0.0550
7/1/10,0.0688,0.0399,0.0227
6/1/10,-0.0539,-0.0142,-0.0208
5/3/10,-0.0820,-0.0241,-0.0161
4/1/10,0.0148,0.0059,0.1110
3/1/10,0.0588,0.0085,0.1485
2/1/10,0.0285,0.0437,0.0654
1/4/10,-0.0370,-0.0651,-0.0886
12/1/09,0.0178,0.0360,0.0542
11/2/09,0.0574,0.0523,0.0605
10/1/09,-0.0198,0.0083,0.0170
9/1/09,0.0357,0.0132,0.1019
8/3/09,0.0336,0.0058,0.0295
7/1/09,0.0741,0.1293,0.1472
6/1/09,0.0002,-0.0175,0.0488
5/1/09,0.0531,0.0351,0.0793
4/1/09,0.0939,0.0652,0.1971
3/2/09,0.0854,0.0529,0.1770
2/2/09,-0.1099,0.0096,-0.0091
1/2/09,-0.0857,0.0890,0.0560
12/1/08,0.0078,0.0314,-0.0790
11/3/08,-0.0748,-0.1174,-0.1387
10/1/08,-0.1694,-0.2051,-0.0534
9/2/08,-0.0908,-0.0392,-0.3296
8/1/08,0.0122,-0.0451,0.0666
7/1/08,-0.0099,0.0797,-0.0507
6/2/08,-0.0860,-0.0842,-0.1129
5/1/08,0.0107,0.0767,0.0851
4/1/08,0.0475,0.0483,0.2122
3/3/08,-0.0060,0.0113,0.1478
2/1/08,-0.0348,0.0671,-0.0763
1/2/08,-0.0612,-0.0091,-0.3167
12/3/07,-0.0086,0.0277,0.0870
11/1/07,-0.0440,-0.0910,-0.0407
10/1/07,0.0148,-0.0143,0.2377
9/4/07,0.0358,0.0095,0.1083
8/1/07,0.0129,0.0582,0.0510
7/2/07,-0.0320,0.0514,0.0796
6/1/07,-0.0178,-0.0127,0.0070
5/1/07,0.0325,0.0471,0.2143
4/2/07,0.0433,0.0843,0.0741
3/1/07,0.0100,0.0141,0.0981
2/1/07,-0.0218,-0.0598,-0.0131
1/3/07,0.0141,0.0206,0.0105
12/1/06,0.0126,0.0569,-0.0744
11/1/06,0.0165,-0.0012,0.1305
10/2/06,0.0315,0.1268,0.0532
9/1/06,0.0246,0.0120,0.1346
8/1/06,0.0213,0.0502,-0.0015
7/3/06,0.0051,0.0077,0.1865
6/1/06,0.0001,-0.0386,-0.0418
5/1/06,-0.0309,-0.0261,-0.1509
4/3/06,0.0122,-0.0017,0.1223
3/1/06,0.0111,0.0278,-0.0842
2/1/06,0.0005,-0.0105,-0.0930
1/3/06,0.0255,-0.0110,0.0503
12/1/05,-0.0010,-0.0754,0.0600
11/1/05,0.0352,0.0883,0.1776
10/3/05,-0.0177,0.0208,0.0742
9/1/05,0.0069,-0.0050,0.1434
8/1/05,-0.0112,-0.0317,0.0993
7/1/05,0.0360,0.1247,0.1587
6/1/05,-0.0001,-0.0179,-0.0742
5/2/05,0.0300,-0.0081,0.1027
4/1/05,-0.0201,-0.1642,-0.1347
3/1/05,-0.0191,-0.0129,-0.0711
2/1/05,0.0189,-0.0071,0.1669